number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_scale_pos_weight,params_subsample,state
93,0.5124766300537509,2025-11-16 19:26:32.845024,2025-11-16 19:26:33.085176,0 days 00:00:00.240152,0.0029394877272266185,0.9285658699405971,4.160957063429663,0.3967087353871863,0.024560843467131572,2,2,451,0.5072833110314973,0.9414724104494452,PRUNED
94,0.536562280906754,2025-11-16 19:26:33.086179,2025-11-16 19:26:33.370273,0 days 00:00:00.284094,0.001229606458078413,0.7532232282497431,4.03749020276589,0.5720552984817554,0.030145874118621213,2,1,474,1.9438201886074782,0.9770914174480193,PRUNED
95,0.5234196977232782,2025-11-16 19:26:33.372273,2025-11-16 19:26:34.480508,0 days 00:00:01.108235,0.004144578737364505,0.9482628704096786,3.4424907873222637,0.7080634683802572,0.028294909661898748,2,2,352,1.81386718002085,0.9219108786662481,COMPLETE
96,0.5258421987475477,2025-11-16 19:26:34.482510,2025-11-16 19:26:35.623347,0 days 00:00:01.140837,0.004193773158950049,0.8840391386339672,3.454199302091081,1.0327586046148756,0.028394166553153907,2,2,412,1.8134823875220134,0.9155480805379432,COMPLETE
97,0.540619887824258,2025-11-16 19:26:35.624357,2025-11-16 19:26:36.027252,0 days 00:00:00.402895,0.004532018719303428,0.881345920156055,3.4022088124027228,1.1121116841422334,0.03465721738175897,2,2,414,1.6929800520498572,0.8982482316593626,PRUNED
98,0.5322622107969152,2025-11-16 19:26:36.028250,2025-11-16 19:26:36.369052,0 days 00:00:00.340802,0.0024614970922566515,0.9469623573567255,4.533494051053107,1.8211086864547457,0.028481144762440982,2,2,349,1.7959405664610233,0.8867416893253129,PRUNED
99,0.5378038093012386,2025-11-16 19:26:36.371050,2025-11-16 19:26:37.026849,0 days 00:00:00.655799,0.004107322953023524,0.8367908083941048,3.5741910897856433,0.7130699396977366,0.02167824573867565,2,2,372,1.7612041928097097,0.921165021391365,PRUNED
100,0.5278861883617667,2025-11-16 19:26:37.027357,2025-11-16 19:26:37.366672,0 days 00:00:00.339315,0.006028315348197883,0.907333002941457,4.215498813743395,1.0608489658209703,0.03877254527695922,3,2,313,1.8932224579119599,0.9178454157120354,PRUNED
101,0.5210404374308679,2025-11-16 19:26:37.367805,2025-11-16 19:26:38.551435,0 days 00:00:01.183630,0.002143128144114321,0.9383988325513798,3.745668828824566,0.4586030812485325,0.031640821191694174,2,1,440,1.8167230753673844,0.933846739079626,COMPLETE
102,0.5403394484692685,2025-11-16 19:26:38.552937,2025-11-16 19:26:39.134997,0 days 00:00:00.582060,0.0017153714684191828,0.9590263863160379,4.016733792280988,0.6061095912408652,0.026251820738923754,2,1,384,1.8494735436954524,0.9101844715077512,PRUNED
103,0.5359108436550596,2025-11-16 19:26:39.136998,2025-11-16 19:26:39.575549,0 days 00:00:00.438551,0.00321225343665413,0.8204937075668519,4.824003792300133,0.8280329220933289,0.02906005750758157,2,2,290,1.8233061339056718,0.9475000359365766,PRUNED
104,0.4922587053049778,2025-11-16 19:26:39.576544,2025-11-16 19:26:39.769820,0 days 00:00:00.193276,0.011222020455146671,0.8855474848497289,3.8832704508460596,0.48179419948742097,0.020174251846902965,2,1,403,1.730921751857804,0.9873962627491131,PRUNED
105,0.5265784349191442,2025-11-16 19:26:39.770820,2025-11-16 19:26:40.980985,0 days 00:00:01.210165,0.0026444515034188655,0.9188142065854741,4.396146630105747,1.40745318666014,0.02275380155474675,2,1,423,1.9500085602822161,0.9685115710632336,COMPLETE
106,0.4982238840850667,2025-11-16 19:26:40.981982,2025-11-16 19:26:41.109957,0 days 00:00:00.127975,0.0026984028341297335,0.8583135236823248,4.316807371697662,2.1697572608651634,0.022882193914783168,2,2,416,1.961896602518045,0.58175749197076,PRUNED
107,0.5085154241645244,2025-11-16 19:26:41.109957,2025-11-16 19:26:41.209874,0 days 00:00:00.099917,0.0012821240462930308,0.9863697285796909,4.60061379452348,1.5204515828365277,0.017957544996069306,3,1,435,1.9364162471562048,0.9703692956064123,PRUNED
108,0.5234517410609956,2025-11-16 19:26:41.211864,2025-11-16 19:26:41.352422,0 days 00:00:00.140558,0.004299802066128973,0.9609397669474075,4.408779657058835,2.741855870274137,0.03411939692785038,2,2,387,1.8903226731958485,0.8988009303792979,PRUNED
109,0.5174544286048142,2025-11-16 19:26:41.353427,2025-11-16 19:26:41.477582,0 days 00:00:00.124155,0.00199821952766031,0.8471273207521592,4.838194070473933,1.3123865448539598,0.027229816767366504,2,1,363,1.7856549573630913,0.6813401902799601,PRUNED
110,0.5275619303575603,2025-11-16 19:26:41.480337,2025-11-16 19:26:41.985539,0 days 00:00:00.505202,0.0015093701649995718,0.910296508258189,3.6213457540380194,0.20200406571484925,0.030388825176854293,2,3,463,1.6449400965110805,0.7495134879285776,PRUNED
111,0.5378709978967048,2025-11-16 19:26:41.987537,2025-11-16 19:26:43.010125,0 days 00:00:01.022588,0.006121598908632186,0.9200731961122576,3.4246892146072416,0.9440129128430629,0.024690066257417525,2,1,452,1.8543685725230357,0.9565254718864413,PRUNED
112,0.48222131339097923,2025-11-16 19:26:43.010125,2025-11-16 19:26:43.414920,0 days 00:00:00.404795,0.009606072589113177,0.8776775730564405,4.100861796215175,0.6761804010743946,0.023386036389982087,2,1,484,1.91197058859977,0.9907806747990008,PRUNED
113,0.539372516943211,2025-11-16 19:26:43.416919,2025-11-16 19:26:43.619708,0 days 00:00:00.202789,0.0038538062266802097,0.8977462022526997,3.924126128049134,0.33959736194730056,0.022037945519441427,2,1,535,1.818386272136435,0.9275188905580952,PRUNED
114,0.5189134197676386,2025-11-16 19:26:43.620707,2025-11-16 19:26:44.371964,0 days 00:00:00.751257,0.0024291548014693984,0.9426793367866321,3.7654626120321577,0.5077585962849794,0.025255013300524966,2,2,425,1.868123690505846,0.940696706224252,COMPLETE
115,0.523224146923107,2025-11-16 19:26:44.373471,2025-11-16 19:26:45.457019,0 days 00:00:01.083548,0.030067000001805375,0.9289296352678521,3.281204151795612,0.9043272044401464,0.01955512940820518,2,1,347,1.7174397939775055,0.9795393849453864,COMPLETE
116,0.5027313624678664,2025-11-16 19:26:45.458020,2025-11-16 19:26:45.642682,0 days 00:00:00.184662,0.005080511565141055,0.966433420519633,3.2828061731035705,4.468756866736761,0.019618831795483863,2,1,347,1.7242149220020042,0.9744989506460358,PRUNED
117,0.5418029913531198,2025-11-16 19:26:45.643681,2025-11-16 19:26:46.176064,0 days 00:00:00.532383,0.032738402496107315,0.8676006031299817,3.6337233044885053,0.8017412832796218,0.017926609206022546,3,2,328,1.686517693133638,0.9811299019179023,PRUNED
118,0.500663122224819,2025-11-16 19:26:46.177063,2025-11-16 19:26:46.329815,0 days 00:00:00.152752,0.0028621996562320563,0.9380231703346428,2.9640471923965954,1.1014832028317323,0.01482758895100706,2,1,266,1.763804485304976,0.9474130501748537,PRUNED
119,0.5400765365739658,2025-11-16 19:26:46.330816,2025-11-16 19:26:46.664069,0 days 00:00:00.333253,0.11063783950532612,0.9522794181620091,2.074967220099632,1.6848689702805737,0.0207512069715094,2,2,401,1.92778250037733,0.9885852997922331,PRUNED
120,0.5238001594338929,2025-11-16 19:26:46.665149,2025-11-16 19:26:47.969291,0 days 00:00:01.304142,0.00397112340206839,0.9301209968448015,3.182473092165174,1.3767684124060942,0.027867478845903352,2,1,357,1.9703578799706971,0.9677222517219861,COMPLETE
121,0.5389430941808835,2025-11-16 19:26:47.971790,2025-11-16 19:26:48.410839,0 days 00:00:00.439049,0.0038175310098999818,0.928917393587032,3.208731855877699,0.9469757056136119,0.02845788925061394,2,1,361,1.9647310594708347,0.9664045187989752,PRUNED
122,0.511709813512782,2025-11-16 19:26:48.411839,2025-11-16 19:26:49.587943,0 days 00:00:01.176104,0.007356284895190495,0.903012516579479,3.437062043825556,1.432537371376297,0.037465198537913795,7,1,322,1.8912745280901937,0.9516957954570759,COMPLETE
123,0.5413209862117316,2025-11-16 19:26:49.588948,2025-11-16 19:26:49.895897,0 days 00:00:00.306949,0.004555110006575199,0.9679429598340182,3.1132853602007855,0.6449777470779966,0.026469745758098535,2,1,339,1.9895187113050965,0.932122017482197,PRUNED
124,0.5243350022416011,2025-11-16 19:26:49.897895,2025-11-16 19:26:50.646499,0 days 00:00:00.748604,0.001665844433921757,0.9841949723387288,3.3487442695184537,0.7442451705635699,0.03230506004049127,2,1,374,1.804110940610165,0.9801247611603209,COMPLETE
125,0.5387911895302641,2025-11-16 19:26:50.648078,2025-11-16 19:26:50.921570,0 days 00:00:00.273492,0.0016166195260762831,0.9855770030735402,3.4985481866536614,2.067297567440035,0.0324931640143501,2,3,385,1.8053467307172388,0.9649851507619066,PRUNED
126,0.5420045571395186,2025-11-16 19:26:50.923567,2025-11-16 19:26:51.205545,0 days 00:00:00.281978,0.0032529326220159345,0.9931113167778632,4.246694895812251,0.7619922414043059,0.03315055501066693,2,2,370,1.9475909163803609,0.911692260055467,PRUNED
127,0.5311959569992988,2025-11-16 19:26:51.206553,2025-11-16 19:26:51.467792,0 days 00:00:00.261239,0.0011951790865288468,0.9999693067780331,4.440131189252885,1.3022499638642206,0.040323546217487044,2,1,297,1.8522927776698612,0.9937376274553334,PRUNED
128,0.5260049076887123,2025-11-16 19:26:51.469794,2025-11-16 19:26:51.878230,0 days 00:00:00.408436,0.0025350258894023415,0.9535802727612737,4.976413632935501,3.489339026261997,0.030118707499487456,2,2,409,1.9018952784510017,0.956940686134191,PRUNED
129,0.5331707174573499,2025-11-16 19:26:51.880228,2025-11-16 19:26:52.078176,0 days 00:00:00.197948,0.0018949169362982821,0.8099491909953074,3.666338017096587,0.41496340048004143,0.04246514964185972,3,1,431,1.8772028271228742,0.9423793052196987,PRUNED
130,0.5307227155877542,2025-11-16 19:26:52.080397,2025-11-16 19:26:52.353692,0 days 00:00:00.273295,0.005589003882587099,0.7826541091569414,4.6872984768376185,0.05435148497617657,0.027845390869417397,2,1,391,1.7770419451533428,0.9733588706573697,PRUNED
131,0.524136191870247,2025-11-16 19:26:52.354692,2025-11-16 19:26:53.577335,0 days 00:00:01.222643,0.0010651090100463742,0.9186714299343991,3.367515537205995,0.9702451619386988,0.02181630190242736,2,1,349,1.839145355453739,0.9789708687000688,COMPLETE
